,Swap,BID,ASK
1y,19-Feb-09,4.12,4.14
2y,19-Feb-10,3.861,3.882
3y,21-Feb-11,3.882,3.902
4y,20-Feb-12,3.948,3.968
5y,19-Feb-13,4.032,4.052
6y,19-Feb-14,4.117,4.137
7y,19-Feb-15,4.202,4.222
8y,19-Feb-16,4.283,4.303
9y,20-Feb-17,4.357,4.377
10y,19-Feb-18,4.424,4.444
11y,19-Feb-19,4.473,4.513
12y,19-Feb-20,4.526,4.566
13y,19-Feb-21,4.5656,4.6099
14y,21-Feb-22,4.6034,4.6465
15y,20-Feb-23,4.636,4.676
16y,19-Feb-24,4.6629,4.701
17y,19-Feb-25,4.6847,4.7223
18y,19-Feb-26,4.7019,4.74
19y,19-Feb-27,4.7154,4.7545
20y,21-Feb-28,4.726,4.766
21y,19-Feb-29,4.7343,4.7748
22y,19-Feb-30,4.7405,4.7812
23y,19-Feb-31,4.745,4.7855
24y,19-Feb-32,4.7478,4.788
25y,21-Feb-33,4.749,4.789
26y,20-Feb-34,4.7489,4.7887
27y,19-Feb-35,4.7476,4.7874
28y,19-Feb-36,4.7454,4.7853
29y,19-Feb-37,4.7425,4.7824
30y,19-Feb-38,4.739,4.779
31y,21-Feb-39,4.7352,4.7752
32y,20-Feb-40,4.7311,4.7712
33y,19-Feb-41,4.7267,4.7669
34y,19-Feb-42,4.7222,4.7623
35y,19-Feb-43,4.7175,4.7576
36y,19-Feb-44,4.7127,4.7528
37y,20-Feb-45,4.7078,4.7478
38y,19-Feb-46,4.7028,4.7429
39y,19-Feb-47,4.6979,4.7379
40y,19-Feb-48,4.693,4.733
41y,19-Feb-49,4.6882,4.7281
42y,21-Feb-50,4.6834,4.7234
43y,20-Feb-51,4.6787,4.7187
44y,19-Feb-52,4.6741,4.7141
45y,19-Feb-53,4.6695,4.7095
46y,19-Feb-54,4.6649,4.7049
47y,19-Feb-55,4.6604,4.7004
48y,21-Feb-56,4.6559,4.6959
49y,19-Feb-57,4.6515,4.6915
50y,19-Feb-58,4.647,4.687
