Time,risk_free
29-Feb-2012,0.0
30-Mar-2012,0.0
30-Apr-2012,0.0
31-May-2012,0.001
29-Jun-2012,0.0
31-Jul-2012,0.0
31-Aug-2012,0.001
28-Sep-2012,0.001
31-Oct-2012,0.001
30-Nov-2012,0.001
31-Dec-2012,0.001
31-Jan-2013,0.0
28-Feb-2013,0.0
28-Mar-2013,0.0
30-Apr-2013,0.0
31-May-2013,0.0
28-Jun-2013,0.0
31-Jul-2013,0.0
30-Aug-2013,0.0
30-Sep-2013,0.0
31-Oct-2013,0.0
29-Nov-2013,0.0
31-Dec-2013,0.0
31-Jan-2014,0.0
28-Feb-2014,0.0
31-Mar-2014,0.0
30-Apr-2014,0.0
30-May-2014,0.0
30-Jun-2014,0.0
31-Jul-2014,0.0
29-Aug-2014,0.0
30-Sep-2014,0.0
31-Oct-2014,0.0
28-Nov-2014,0.0
31-Dec-2014,0.0
30-Jan-2015,0.0
27-Feb-2015,0.0
31-Mar-2015,0.0
30-Apr-2015,0.0
29-May-2015,0.0
30-Jun-2015,0.0
31-Jul-2015,0.0
31-Aug-2015,0.0
30-Sep-2015,0.0
30-Oct-2015,0.0
30-Nov-2015,0.0
31-Dec-2015,0.001
29-Jan-2016,0.001
29-Feb-2016,0.002
31-Mar-2016,0.002
29-Apr-2016,0.001
31-May-2016,0.001
30-Jun-2016,0.002
29-Jul-2016,0.002
31-Aug-2016,0.002
30-Sep-2016,0.002
31-Oct-2016,0.002
30-Nov-2016,0.001
30-Dec-2016,0.003
31-Jan-2017,0.004
28-Feb-2017,0.004
31-Mar-2017,0.003
28-Apr-2017,0.005
31-May-2017,0.006
30-Jun-2017,0.006
31-Jul-2017,0.007000000000000001
31-Aug-2017,0.009
29-Sep-2017,0.009
31-Oct-2017,0.009
30-Nov-2017,0.008
29-Dec-2017,0.009
31-Jan-2018,0.012
28-Feb-2018,0.011
29-Mar-2018,0.011
30-Apr-2018,0.014
31-May-2018,0.014
29-Jun-2018,0.014
31-Jul-2018,0.016
31-Aug-2018,0.016
28-Sep-2018,0.015
31-Oct-2018,0.019
30-Nov-2018,0.018
31-Dec-2018,0.02
31-Jan-2019,0.021
28-Feb-2019,0.018
29-Mar-2019,0.019
30-Apr-2019,0.021
31-May-2019,0.021
28-Jun-2019,0.018
31-Jul-2019,0.019
30-Aug-2019,0.016
30-Sep-2019,0.018
31-Oct-2019,0.016
29-Nov-2019,0.012
31-Dec-2019,0.014
31-Jan-2020,0.013
28-Feb-2020,0.012
31-Mar-2020,0.013
30-Apr-2020,0.0
29-May-2020,0.001
30-Jun-2020,0.001
31-Jul-2020,0.001
31-Aug-2020,0.001
30-Sep-2020,0.001
30-Oct-2020,0.001
30-Nov-2020,0.001
31-Dec-2020,0.001
29-Jan-2021,0.001
26-Feb-2021,0.0
31-Mar-2021,0.0
30-Apr-2021,0.0
28-May-2021,0.0
30-Jun-2021,0.0
30-Jul-2021,0.0
31-Aug-2021,0.0
30-Sep-2021,0.0
29-Oct-2021,0.0
30-Nov-2021,0.0
31-Dec-2021,0.001
